player_id,signup_date,country,device_type,avg_session_time,sessions_per_week,last_purchase_amount,total_spent,level_reached,retention_days,churned,satisfaction_score,bug_reports,has_premium
P0023,2024-12-17,Brazil,PC,47.79,4,6.27,45.379999999999995,22,58,0,10.0,,True
P0024,2024-11-18,Germany,Android,33.54,6,5.3,65.42,40,52,0,2.0,,False
P0025,2025-04-13,Brazil,PC,11.2,4,0.26,164.63,23,127,0,9.0,,False
P0026,2025-02-25,Inda,iOS,14.51,4,10.7,39.31,93,76,0,,2.0,True
P0027,2025-01-22,Brazil,Android,26.57,2,0.0,2.35,94,144,0,10.0,9.0,True
P0028,2025-01-02,India,PC,-2.41,5,4.69,53.849999999999994,58,96,0,1.0,7.0,True
P0029,2024-12-05,Inda,Android,19.76,3,0.27,44.34,91,84,0,,,True
P0030,"12th Jan, 2024",Germany,PC,19.66,7,4.74,6.73,35,81,0,,7.0,False
P0031,2024-11-08,Usa,Android,32.04,6,0.0,137.95,36,21,1,,,False
P0032,2025-02-03,Usa,iOS,35.52,10,1.09,117.51,62,84,0,9.0,5.0,True
P0033,2025-02-22,Usa,PC,22.9,2,0.0,159.15,19,76,0,9.0,6.0,True
P0034,2025-03-18,Brazil,PC,31.04,3,9.22,49.56,85,53,0,,8.0,False
P0035,2024-11-16,UK,Android,32.68,4,13.36,52.83,75,146,0,9.0,,True
P0036,2025-01-12,USA,PC,30.9,5,7.2,20.48,8,109,0,1.0,5.0,True
P0037,2024-11-12,Germany,iOS,30.83,8,23.68,29.57,67,173,0,2.0,,True
P0038,2025-04-17,Germany,iOS,38.52,6,0.0,37.58,6,58,0,,,False
P0039,2025-02-13,Japan,iOS,37.68,5,2.44,19.880000000000003,1,117,0,,5.0,True
P0040,2025-02-13,Japan,Android,44.37,4,4.09,13.39,36,90,0,8.0,,True
P0041,2024-12-26,USA,PC,22.98,3,6.04,7.68,73,161,0,5.0,3.0,True
P0042,2025-03-12,Germany,Android,14.85,3,8.7,134.47,10,56,0,2.0,,True
P0043,2025-04-05,Brazil,PC,36.8,1,4.72,87.9,96,177,0,5.0,,False
P0044,2025-01-12,Japan,Android,33.41,5,20.0,103.81,95,133,0,,2.0,False
P0045,2025-04-16,Usa,Android,29.14,6,30.8,77.39,62,113,0,,,False
P0046,2025-03-12,India,Android,21.72,9,0.29,70.64,85,142,0,2.0,10.0,True
P0047,2025-02-02,Japan,Android,26.96,2,4.32,48.89,30,79,0,3.0,1.0,False
P0048,2024-12-30,Japan,Android,32.0,8,6.15,201.83,53,126,0,,8.0,False
P0049,2024-11-22,India,Android,8.29,6,0.0,103.7,27,93,0,2.0,9.0,False
P0050,2025-02-07,Japan,PC,36.16,2,0.0,39.78,5,12,1,,1.0,False
P0051,2025-02-11,UK,iOS,24.71,3,6.56,64.76,56,94,0,1.0,9.0,False
P0052,2025-02-25,Japan,Android,31.78,6,0.0,7.99,7,3,1,7.0,,True
P0053,2025-03-23,UK,PC,30.36,4,3.14,26.82,74,39,0,9.0,0.0,True
P0054,2025-01-05,Germany,PC,23.53,6,0.0,38.51,34,111,0,,7.0,False
P0055,2025-02-10,Germany,Android,19.18,3,0.0,51.91,98,59,0,6.0,,True
P0056,2025-01-31,Brazil,PC,23.83,4,0.0,92.36,3,31,0,,4.0,True
P0057,2025-01-17,Germany,Android,17.41,7,11.05,143.57000000000002,79,136,0,10.0,2.0,False
P0058,2024-11-25,Usa,PC,25.69,7,7.05,141.47,77,3,1,1.0,,True
P0059,2025-04-03,India,iOS,34.95,2,46.01,65.47,2,84,0,,4.0,True
P0060,2024-12-27,UK,iOS,53.9,7,0.0,23.84,1,40,0,6.0,7.0,True
P0061,2024-11-10,Brazil,iOS,23.96,8,0.0,44.37,18,40,0,8.0,,False
P0062,2025-03-01,Usa,PC,35.53,6,0.69,13.69,39,179,0,,5.0,True
P0063,2025-04-18,Japan,Android,32.96,7,60.72,130.51999999999998,27,33,0,,5.0,True
P0064,2025-03-19,Usa,iOS,29.48,5,6.98,45.790000000000006,29,47,0,,,True
P0065,2025-02-10,Usa,PC,48.41,2,0.0,62.97,27,69,0,4.0,,True
P0066,2025-04-02,Brazil,iOS,28.88,5,1.06,15.85,60,171,0,,,True
P0067,2025-02-04,Japan,PC,33.26,4,0.0,3.57,51,29,1,,,False
P0068,2024-12-12,Japan,PC,29.1,6,0.0,44.74,21,175,0,,,True
P0069,2025-04-29,Japan,iOS,37.81,2,4.06,29.45,25,90,0,6.0,,False
P0070,2025-04-22,Brazil,iOS,14.44,4,8.62,17.67,88,161,0,,,False
P0071,2024-12-22,UK,PC,2.15,2,0.0,9.8,84,105,0,,3.0,True
P0072,2024-11-30,Japan,PC,22.01,5,22.83,34.31,29,49,0,,2.0,True
P0073,2025-04-05,Japan,Android,28.35,4,5.12,46.129999999999995,63,132,0,1.0,7.0,True
P0074,2024-11-23,Brazil,iOS,15.92,2,1.7,64.63,93,8,1,1.0,,False
P0075,2024-11-18,Brazil,PC,22.22,3,1.1,81.55,67,51,0,,,True
P0076,2024-12-18,Germany,PC,27.6,8,0.89,12.540000000000001,19,112,0,3.0,,True
P0077,2024-11-29,Germany,PC,26.25,7,17.76,38.93000000000001,94,137,0,2.0,4.0,True
P0078,2025-02-23,UK,Android,32.11,7,3.13,42.13,25,103,0,,,False
P0079,2025-04-05,UK,Android,29.03,7,16.88,51.349999999999994,34,17,1,,,False
P0080,2025-03-14,Brazil,PC,48.11,2,0.0,15.5,91,168,0,,8.0,False
P0081,2025-04-21,UK,Android,29.79,8,0.95,74.65,29,149,0,8.0,,False
P0082,2024-12-02,Inda,PC,43.41,7,0.0,15.21,99,81,0,2.0,8.0,False
P0083,2025-04-27,Germany,PC,21.16,2,0.0,65.13,89,61,0,,,False
P0084,2025-02-13,UK,iOS,22.03,1,0.0,171.63,98,12,1,,,True
P0085,2025-04-22,Usa,iOS,29.24,4,0.0,10.24,62,80,0,,,False
P0086,2024-12-30,Usa,PC,38.17,8,12.23,141.91,23,26,1,5.0,,True
P0087,2025-03-20,Japan,iOS,36.19,3,25.82,202.94,87,82,0,,,False
P0088,2025-02-19,Germany,iOS,43.57,8,8.5,89.98,4,93,0,6.0,,True
P0089,2024-12-26,India,PC,2.88,7,2.05,26.27,96,123,0,,3.0,True
P0090,2024-11-04,Japan,iOS,29.76,3,0.0,20.5,84,133,0,,,False
P0091,2024-11-23,Usa,iOS,24.45,3,2.66,4.8100000000000005,65,73,0,,,True
P0092,2024-11-23,UK,Android,19.29,7,1.83,238.3,59,72,0,4.0,,True
P0093,2025-04-06,India,PC,36.83,4,0.0,10.32,3,120,0,6.0,4.0,True
P0094,2024-12-16,USA,PC,44.21,4,0.0,38.5,73,68,0,5.0,,True
P0095,2025-03-06,Brazil,iOS,24.29,4,19.12,20.92,79,40,0,,4.0,True
P0096,2025-01-02,Germany,iOS,20.94,1,0.0,59.49,48,90,0,2.0,,False
P0097,2025-03-15,Usa,PC,39.75,4,0.0,107.24,62,93,0,3.0,9.0,False
P0098,2025-04-23,India,PC,48.65,6,1.75,22.07,45,89,0,,,False
P0099,2025-03-14,India,PC,38.2,5,21.13,21.39,32,107,0,5.0,,False
P0100,2025-01-22,India,iOS,33.69,2,3.38,51.36,17,104,0,,7.0,False
P0101,2025-01-08,Germany,PC,26.07,3,5.66,97.33,28,60,0,,,False
P0102,2025-01-14,Usa,PC,31.76,3,8.73,29.95,90,120,0,,1.0,True
P0103,2025-01-20,Japan,iOS,34.09,6,0.0,86.16,79,160,0,,,False
P0104,2025-04-20,USA,iOS,24.45,6,2.49,6.79,78,84,0,6.0,,True
P0105,2025-04-27,Inda,iOS,48.81,5,0.0,50.88,6,147,0,,4.0,True
P0106,2025-02-12,India,Android,29.54,3,10.55,33.53,15,27,1,,8.0,False
P0107,2024-11-27,UK,iOS,32.43,7,25.36,73.3,46,15,1,9.0,,True
P0108,2025-03-01,Usa,PC,33.75,3,0.0,43.61,2,88,0,,,False
P0109,2024-11-11,Usa,PC,22.43,8,30.5,149.7,11,179,0,,,False
P0110,2025-01-27,Japan,iOS,29.96,3,0.0,19.76,2,33,0,9.0,,True
P0111,2025-01-24,Germany,Android,18.42,7,0.0,55.49,75,61,0,,,False
P0112,2025-03-13,India,Android,30.6,8,0.0,84.99,26,127,0,,8.0,False
P0113,2025-03-28,USA,PC,23.53,6,3.99,35.75,45,136,0,,4.0,True
P0114,2024-12-04,Japan,PC,29.76,8,0.31,15.21,76,49,0,,9.0,True
P0115,2025-01-13,Japan,iOS,51.42,5,20.18,63.4,36,117,0,,3.0,True
P0116,2024-12-27,Japan,iOS,13.67,6,0.0,62.91,94,87,0,10.0,,False
P0117,2025-02-05,India,PC,24.27,6,4.45,49.39,70,145,0,9.0,8.0,True
P0118,2024-12-29,Japan,Android,40.47,1,9.13,34.39,23,47,0,10.0,,True
P0119,2025-04-29,Usa,iOS,27.05,4,5.97,50.29,76,1,1,,,False
P0120,2025-01-04,USA,PC,38.47,6,3.14,6.08,37,20,1,10.0,0.0,True
P0121,2025-02-18,Japan,PC,42.23,5,0.0,8.03,53,43,0,2.0,8.0,True
P0122,2024-11-02,Germany,Android,39.16,5,3.68,64.66,8,85,0,,,True
P0123,2025-02-12,Brazil,iOS,33.46,9,20.32,62.59,76,72,0,,3.0,True
P0124,2025-02-04,Japan,PC,19.23,6,37.8,63.92,48,13,1,9.0,,True
P0125,2025-01-04,Brazil,PC,36.68,10,0.0,6.4,54,89,0,,0.0,True
P0126,2025-02-10,USA,Android,17.22,5,0.76,47.01,78,74,0,,,True
P0127,2025-02-27,UK,PC,13.56,4,0.0,20.87,12,133,0,,,False
P0128,2025-04-01,UK,Android,28.5,8,30.94,84.11,51,15,1,,,False
P0129,2024-12-30,USA,Android,13.66,4,0.0,55.45,29,156,0,3.0,,True
P0130,2025-04-11,Germany,iOS,39.18,4,11.43,21.439999999999998,13,159,0,,,True
P0131,2025-03-03,Usa,PC,14.29,4,16.91,40.29,45,106,0,7.0,,False
P0132,2025-05-01,Usa,iOS,30.49,6,0.0,13.52,37,68,0,2.0,7.0,False
P0133,2025-04-23,Usa,PC,30.41,5,8.83,18.03,99,108,0,,0.0,False
P0134,2024-11-11,India,iOS,28.15,3,0.0,13.19,78,77,0,9.0,,True
P0135,2025-03-04,UK,iOS,28.7,8,0.0,5.5,90,102,0,,,False
P0136,2025-04-12,USA,Android,22.51,6,0.0,89.15,60,5,1,5.0,,False
P0137,2025-01-18,UK,Android,38.68,9,0.0,31.29,8,150,0,10.0,3.0,False
P0138,2024-11-27,USA,PC,31.1,5,3.58,202.37,3,144,0,7.0,2.0,False
P0139,2024-12-05,India,PC,33.78,7,14.08,20.91,16,38,0,,,False
P0140,2024-12-27,Usa,iOS,23.18,5,28.54,131.85,6,163,0,6.0,,True
P0141,2024-11-14,Usa,Android,18.26,7,7.6,71.5,67,80,0,7.0,3.0,False
P0142,2024-12-30,Usa,iOS,24.54,1,2.53,160.23,82,10,1,,1.0,False
P0143,2025-03-18,Japan,PC,39.81,6,6.98,32.41,25,141,0,,1.0,False
P0144,2024-11-05,UK,iOS,35.08,4,0.0,51.2,93,43,0,,,False
P0145,2025-03-20,Brazil,PC,30.54,3,0.0,3.0,11,178,0,,8.0,False
P0146,2025-01-26,USA,iOS,17.69,3,11.76,59.879999999999995,4,103,0,,,True
P0147,2025-02-12,UK,Android,27.4,3,0.0,94.2,50,63,0,,3.0,False
P0148,2024-11-22,India,PC,47.15,4,33.19,47.48,62,149,0,6.0,5.0,False
P0149,2025-04-28,Germany,Android,19.41,4,0.12,13.92,85,82,0,,,False
P0150,2025-03-19,India,iOS,16.12,4,20.0,33.95,82,157,0,,,False
P0151,2025-04-14,USA,PC,22.38,9,0.0,116.02,21,28,1,,1.0,True
P0152,2025-02-20,Usa,Android,20.51,6,0.49,2.4299999999999997,87,43,0,1.0,,True
P0153,2024-11-15,Japan,Android,8.38,1,0.0,156.75,21,58,0,4.0,,False
P0154,2025-03-30,Inda,iOS,23.89,4,0.0,4.31,92,81,0,,7.0,True
P0155,2025-03-06,Germany,Android,41.95,3,9.55,84.05,41,122,0,,1.0,False
P0156,2025-03-19,Germany,Android,22.19,6,0.45,6.32,18,153,0,,,False
P0157,2025-03-22,USA,iOS,26.29,5,6.85,7.489999999999999,21,122,0,7.0,6.0,False
P0158,2024-11-21,Inda,PC,38.38,9,0.0,9.01,29,27,1,,,False
P0159,2025-02-27,Japan,Android,21.86,6,1.64,6.56,25,128,0,,7.0,True
P0160,2025-03-28,Usa,PC,27.5,5,0.0,11.41,10,149,0,,,True
P0161,2024-12-03,Usa,iOS,29.8,4,0.0,71.56,54,12,1,1.0,,False
P0162,2025-03-30,Brazil,PC,28.79,5,5.95,69.97,24,154,0,5.0,5.0,False
P0163,2024-11-17,Germany,PC,34.2,2,0.0,48.33,4,57,0,4.0,,False
P0164,2025-02-11,USA,PC,24.48,5,0.0,56.42,82,147,0,3.0,0.0,False
P0165,2025-03-15,Inda,PC,55.58,7,4.68,11.21,55,146,0,4.0,0.0,False
P0166,2024-12-16,Japan,Android,45.13,7,0.0,91.57,75,103,0,,,False
P0167,2025-02-18,India,iOS,36.31,4,0.24,89.33999999999999,70,81,0,3.0,4.0,False
P0168,2025-03-15,Inda,Android,24.17,6,23.43,143.49,24,57,0,4.0,,True
P0169,2024-12-03,UK,iOS,16.99,2,5.09,133.04,89,36,0,,,False
P0170,2024-11-05,India,PC,29.0,4,0.0,71.23,89,70,0,9.0,,True
P0171,2025-03-16,India,PC,27.96,1,23.69,31.19,68,178,0,,,True
P0172,2025-02-15,Germany,Android,37.37,5,5.43,20.5,57,165,0,,,True
P0173,2025-04-08,India,Android,27.19,6,4.3,10.36,50,117,0,4.0,,False
P0174,2025-03-09,Inda,PC,32.64,8,18.77,46.76,5,2,1,,8.0,False
P0175,2025-01-02,India,iOS,24.1,5,7.18,89.28,10,99,0,,0.0,False
P0176,2025-01-10,Brazil,iOS,23.54,4,21.02,126.86,92,14,1,9.0,,True
P0177,2025-01-16,Inda,PC,22.01,3,6.23,126.2,97,42,0,,2.0,False
P0178,2025-03-12,Japan,Android,32.99,7,8.62,58.96,55,137,0,,1.0,True
P0179,2024-11-01,USA,Android,22.48,6,41.06,48.64,1,8,1,5.0,10.0,True
P0180,2024-12-27,India,PC,40.03,7,0.0,64.58,34,4,1,6.0,9.0,False
P0181,2024-11-12,Germany,PC,23.72,2,0.0,41.02,97,25,1,4.0,1.0,False
P0182,2025-02-24,Germany,Android,24.76,7,10.55,29.400000000000002,88,131,0,10.0,4.0,True
P0183,2025-04-30,Inda,Android,17.43,3,23.58,90.87,82,58,0,9.0,6.0,False
P0184,2025-02-25,USA,Android,14.82,7,0.72,10.33,73,148,0,1.0,7.0,False
P0185,2025-04-15,UK,iOS,42.44,1,4.16,104.8,47,38,0,5.0,,True
P0186,2025-04-11,USA,PC,24.97,6,20.73,20.740000000000002,59,91,0,,,True
P0187,2025-04-13,USA,iOS,44.44,3,5.32,86.38,84,113,0,,7.0,False
P0188,2025-03-18,UK,Android,33.32,6,32.92,97.77,19,175,0,,7.0,True
P0189,2024-12-03,Germany,iOS,31.9,4,6.33,24.25,75,53,0,,,False
P0190,2025-03-30,UK,PC,40.5,6,0.82,14.51,48,158,0,3.0,10.0,True
P0191,2025-02-28,Usa,iOS,21.36,6,0.99,121.17999999999999,68,35,0,,,False
P0192,2024-11-22,Usa,iOS,31.9,7,9.34,59.230000000000004,20,157,0,,,False
P0193,2025-02-09,Japan,iOS,40.01,5,3.17,35.190000000000005,1,72,0,,5.0,True
P0194,2025-03-13,India,Android,28.94,3,3.24,181.19,93,109,0,,2.0,True
P0195,2025-04-26,Inda,PC,28.16,4,0.0,0.28,46,113,0,,,True
P0196,2025-03-11,Japan,PC,25.15,4,0.0,16.27,88,37,0,1.0,8.0,True
P0197,2025-04-21,UK,Android,37.75,4,11.25,13.54,11,77,0,,,True
P0198,2024-12-31,Japan,PC,11.97,7,0.0,50.59,87,158,0,,0.0,False
P0199,2025-02-07,USA,Android,14.16,5,0.0,6.45,28,168,0,,,False
P0200,2024-12-04,USA,Android,35.12,4,10.11,132.37,39,28,1,,3.0,True
P0201,2025-02-06,USA,Android,28.32,9,5.1,125.57,62,49,0,9.0,,False
P0202,2025-02-09,UK,iOS,40.48,5,0.0,24.24,67,156,0,,,True
P0203,2024-12-03,USA,Android,26.65,7,0.0,28.15,68,165,0,8.0,0.0,False
P0204,2024-12-18,UK,PC,20.36,3,0.74,27.09,49,113,0,,,False
P0205,2024-12-20,Brazil,PC,25.7,5,0.0,178.82,30,120,0,,10.0,False
P0206,2025-02-17,UK,PC,18.85,4,3.76,11.71,30,170,0,5.0,9.0,False
P0207,2025-02-01,USA,Android,30.98,7,0.0,162.38,17,109,0,6.0,3.0,False
P0208,2025-01-08,Japan,iOS,29.82,4,0.0,87.67,51,85,0,,,True
P0209,2024-11-13,Germany,iOS,33.97,5,6.71,32.4,17,99,0,2.0,,True
P0210,2025-04-24,Usa,PC,40.65,6,0.0,44.95,98,11,1,6.0,,True
P0211,2025-03-24,Inda,PC,23.66,4,20.96,165.12,17,115,0,,,False
P0212,2025-01-06,India,iOS,29.87,6,0.0,35.8,81,179,0,,10.0,False
P0213,2025-03-19,Inda,Android,33.91,6,19.24,48.16,97,96,0,8.0,2.0,False
P0214,2025-04-20,Usa,PC,18.98,2,0.0,66.22,96,22,1,,,True
P0215,2024-11-01,Inda,Android,21.5,10,0.0,261.52,71,30,0,7.0,2.0,False
P0216,2024-11-13,Inda,PC,37.25,8,6.69,10.73,4,158,0,6.0,10.0,True
P0217,2025-04-23,Germany,iOS,35.16,4,0.0,155.18,16,66,0,8.0,0.0,True
P0218,2025-01-09,UK,iOS,44.55,2,5.16,22.66,34,39,0,,,False
P0219,2025-01-15,Germany,iOS,30.03,3,0.0,43.76,39,65,0,,,False
P0220,2025-04-29,USA,iOS,25.94,8,6.22,19.59,53,152,0,,,False
P0221,2025-04-21,USA,Android,16.17,4,0.0,7.18,98,127,0,,0.0,True
P0222,2025-03-16,Usa,iOS,23.74,4,2.83,70.36,29,156,0,9.0,,True
P0223,2025-01-12,Inda,PC,30.15,7,27.54,83.75999999999999,17,157,0,1.0,10.0,False
P0224,2024-11-10,India,iOS,34.62,3,3.26,10.2,68,175,0,9.0,8.0,True
P0225,2025-04-03,Brazil,PC,39.03,3,4.46,161.56,28,41,0,,1.0,False
P0226,2025-01-23,Inda,iOS,42.71,0,0.0,97.93,13,141,0,,1.0,False
P0227,2025-05-02,India,iOS,36.31,6,0.0,17.5,88,8,1,,,False
P0228,2024-11-20,Germany,iOS,21.3,6,0.0,2.99,54,138,0,5.0,,False
P0229,2025-03-04,Usa,Android,41.25,6,13.33,33.37,12,116,0,8.0,,False
P0230,2025-03-19,Inda,Android,44.12,3,19.46,62.29,42,175,0,9.0,,False
P0231,2025-03-10,USA,iOS,24.49,4,0.0,12.63,57,126,0,5.0,,False
P0232,2024-11-02,Brazil,Android,40.28,6,22.97,84.89,29,98,0,2.0,6.0,False
P0233,2025-02-01,India,PC,31.31,9,12.93,61.27,57,26,1,9.0,,True
P0234,2025-03-22,Usa,Android,18.63,9,0.0,3.13,46,26,1,1.0,,True
P0235,2025-03-05,Usa,iOS,20.61,1,5.94,13.15,50,166,0,2.0,,False
P0236,2025-02-08,UK,Android,24.7,5,1.81,31.299999999999997,44,108,0,,,True
P0237,2025-03-08,Inda,PC,32.25,11,5.74,50.760000000000005,55,102,0,,,False
P0238,2025-04-26,Usa,PC,34.26,5,10.98,19.86,88,86,0,6.0,8.0,True
P0239,2025-04-19,Japan,Android,30.19,5,16.51,26.3,55,176,0,,4.0,True
P0240,2024-12-21,Japan,Android,24.43,1,23.17,31.520000000000003,27,34,0,,,True
P0241,2025-01-16,Usa,Android,15.43,3,14.04,139.35,91,90,0,1.0,,False
P0242,2025-01-14,USA,iOS,11.6,7,0.0,156.54,22,98,0,,8.0,False
P0243,2025-04-01,India,iOS,46.1,7,0.0,112.26,71,154,0,,4.0,False
P0244,2024-11-21,Germany,Android,44.11,4,0.0,20.14,46,156,0,,10.0,False
P0245,2025-02-04,UK,PC,25.95,6,0.0,59.15,24,24,1,10.0,3.0,False
P0246,2025-04-18,Brazil,Android,12.21,2,14.5,14.5,60,54,0,,4.0,False
P0247,2025-02-14,Brazil,iOS,33.2,3,0.0,28.77,51,86,0,4.0,,False
P0248,2025-04-12,India,Android,38.12,7,4.11,388.75,100,39,0,,5.0,True
P0249,2024-11-20,Germany,iOS,43.38,4,12.36,21.52,9,139,0,,5.0,False
P0250,2024-12-18,Germany,PC,36.5,5,4.61,139.71,88,104,0,,10.0,True
P0251,2025-02-07,Usa,iOS,14.97,4,0.0,1.57,41,73,0,,,False
P0252,2025-02-28,USA,iOS,20.58,5,6.59,41.92,96,128,0,,1.0,True
P0253,2024-12-18,Inda,Android,34.54,2,0.0,79.86,33,14,1,,6.0,False
P0254,2025-01-26,UK,PC,37.74,7,0.0,80.47,99,147,0,10.0,8.0,False
P0255,2025-04-19,USA,iOS,19.99,5,0.0,14.42,56,119,0,3.0,1.0,False
P0256,2025-03-18,Japan,PC,30.7,4,0.0,65.97,78,69,0,,,True
P0257,2025-04-19,Brazil,iOS,23.6,5,0.0,23.41,68,33,0,4.0,,False
P0258,2025-01-14,India,iOS,24.41,7,5.98,194.82,66,6,1,,,False
P0259,2025-04-11,Inda,Android,33.4,5,0.77,47.27,98,89,0,,,False
P0260,2025-03-12,India,PC,39.48,3,30.25,47.89,54,148,0,,3.0,False
P0261,2025-01-08,Inda,Android,17.14,5,0.0,29.95,96,48,0,,,False
P0262,2025-03-24,Usa,Android,13.52,0,1.91,8.14,89,10,1,,,True
P0263,2025-01-19,Inda,PC,31.69,7,8.74,23.33,36,83,0,,9.0,True
P0264,2024-12-29,Usa,iOS,41.24,4,5.68,10.54,85,127,0,9.0,3.0,True
P0265,2025-03-04,UK,Android,26.66,2,0.0,44.51,17,43,0,9.0,,False
P0266,2025-01-26,Usa,PC,38.08,4,0.0,14.28,69,43,0,2.0,,False
P0267,2025-02-17,Inda,iOS,20.27,5,4.05,112.17999999999999,19,164,0,8.0,,False
P0268,2025-02-03,Inda,PC,44.17,5,0.0,38.65,60,28,1,1.0,5.0,True
P0269,2024-11-25,UK,PC,36.81,5,0.0,89.68,40,164,0,2.0,,False
P0270,2024-11-01,UK,Android,24.5,2,6.98,9.870000000000001,54,88,0,,,True
P0271,2025-04-07,India,Android,38.6,5,0.73,11.0,21,109,0,,2.0,False
P0272,2025-03-21,India,PC,26.69,5,17.63,95.49,55,46,0,,,True
P0273,2025-02-09,Japan,iOS,23.88,5,4.99,45.29,35,39,0,6.0,,True
P0274,2025-03-07,India,Android,34.18,7,11.84,24.88,23,45,0,1.0,,True
P0275,2024-12-17,Inda,PC,38.47,0,12.68,78.59,18,94,0,,5.0,True
P0276,2025-02-26,India,iOS,22.9,4,0.0,2.97,19,118,0,,,False
P0277,2025-04-22,India,Android,17.41,8,7.91,50.739999999999995,93,176,0,1.0,,False
P0278,2025-03-17,Inda,Android,26.64,5,7.09,34.260000000000005,62,17,1,9.0,10.0,False
P0279,2025-03-28,USA,Android,22.11,5,12.85,51.21,65,93,0,,5.0,True
P0280,2024-12-22,Inda,PC,29.47,7,0.0,24.54,18,179,0,,7.0,False
P0281,2025-02-13,Brazil,PC,42.24,6,4.71,86.14,79,20,1,,2.0,False
P0282,2024-12-06,India,PC,23.65,3,12.83,66.29,96,91,0,2.0,0.0,False
P0283,2025-01-05,USA,Android,18.1,3,0.0,2.49,36,136,0,,9.0,False
P0284,2024-12-31,USA,iOS,42.07,3,2.32,64.77,59,71,0,,,False
P0285,2024-11-17,Brazil,PC,57.5,9,12.6,28.4,8,104,0,,7.0,True
P0286,2025-04-11,Germany,iOS,40.34,7,31.82,60.019999999999996,62,38,0,,2.0,False
P0287,2024-11-10,Germany,iOS,32.85,6,9.05,24.42,53,132,0,,,False
P0288,2025-01-03,Germany,iOS,20.51,2,0.34,106.02000000000001,35,79,0,5.0,,True
P0289,2025-01-02,UK,Android,44.35,7,0.0,4.95,8,75,0,1.0,5.0,True
P0290,2025-01-19,USA,iOS,54.49,6,0.84,19.55,86,166,0,,1.0,True
P0291,2025-02-16,Inda,PC,18.24,4,27.87,54.66,10,83,0,9.0,3.0,False
P0292,2025-04-14,UK,iOS,47.69,7,54.33,252.81,4,113,0,,3.0,True
P0293,2024-11-16,Usa,PC,25.08,9,10.34,193.3,54,150,0,3.0,0.0,False
P0294,2024-12-23,USA,Android,42.31,5,0.0,0.97,33,119,0,,,True
P0295,2025-02-10,India,iOS,46.85,9,0.0,4.99,43,150,0,,,False
P0296,2025-02-14,Inda,Android,32.07,9,2.24,14.42,81,119,0,9.0,,False
P0297,2024-11-29,India,iOS,37.38,5,11.07,122.30000000000001,29,147,0,,1.0,True
P0298,2025-03-23,India,iOS,18.06,3,0.0,28.85,84,131,0,,,True
P0299,2024-12-12,Brazil,PC,26.99,6,1.39,16.21,49,164,0,4.0,4.0,True
P0300,2025-04-18,Germany,PC,38.51,4,0.0,0.16,60,87,0,,,True
P0301,2024-11-02,Germany,iOS,45.01,3,5.42,36.08,13,89,0,,2.0,False
P0302,2025-02-03,Japan,PC,31.74,3,0.0,31.83,73,76,0,,,False
P0303,2024-12-28,USA,iOS,19.61,4,0.0,26.91,96,62,0,8.0,,False
P0304,2025-04-25,USA,PC,30.43,8,19.29,28.32,67,156,0,3.0,5.0,False
