,player_id,avg_session_time,sessions_per_week,last_purchase_amount,total_spent,level_reached,retention_days,churned,satisfaction_score,bug_reports,has_premium,signup_month,signup_dayofweek,country_Brazil,country_Germany,country_India,country_Japan,country_USA,country_United Kingdom,device_Android,device_PC,device_iOS
54,P0054,23.53,6,0.0,38.51,34,111,0,6.0,7.0,False,1.0,6.0,0,1,0,0,0,0,0,1,0
55,P0055,19.18,3,0.0,51.91,98,59,0,6.0,0.0,True,2.0,0.0,0,1,0,0,0,0,1,0,0
56,P0056,23.83,4,0.0,92.36,3,31,0,6.0,4.0,True,1.0,4.0,1,0,0,0,0,0,0,1,0
57,P0057,17.41,7,11.05,143.57000000000002,79,136,0,10.0,2.0,False,1.0,4.0,0,1,0,0,0,0,1,0,0
58,P0058,25.69,7,7.05,141.47,77,3,1,1.0,0.0,True,11.0,0.0,0,0,0,0,1,0,0,1,0
59,P0059,34.95,2,46.01,65.47,2,84,0,6.0,4.0,True,4.0,3.0,0,0,1,0,0,0,0,0,1
60,P0060,53.9,7,0.0,23.84,1,40,0,6.0,7.0,True,12.0,4.0,0,0,0,0,0,1,0,0,1
61,P0061,23.96,8,0.0,44.37,18,40,0,8.0,0.0,False,11.0,6.0,1,0,0,0,0,0,0,0,1
62,P0062,35.53,6,0.69,13.69,39,179,0,6.0,5.0,True,3.0,5.0,0,0,0,0,1,0,0,1,0
63,P0063,32.96,7,60.72,130.51999999999998,27,33,0,6.0,5.0,True,4.0,4.0,0,0,0,1,0,0,1,0,0
64,P0064,29.48,5,6.98,45.790000000000006,29,47,0,6.0,0.0,True,3.0,2.0,0,0,0,0,1,0,0,0,1
65,P0065,48.41,2,0.0,62.97,27,69,0,4.0,0.0,True,2.0,0.0,0,0,0,0,1,0,0,1,0
66,P0066,28.88,5,1.06,15.85,60,171,0,6.0,0.0,True,4.0,2.0,1,0,0,0,0,0,0,0,1
67,P0067,33.26,4,0.0,3.57,51,29,1,6.0,0.0,False,2.0,1.0,0,0,0,1,0,0,0,1,0
68,P0068,29.1,6,0.0,44.74,21,175,0,6.0,0.0,True,12.0,3.0,0,0,0,1,0,0,0,1,0
69,P0069,37.81,2,4.06,29.45,25,90,0,6.0,0.0,False,4.0,1.0,0,0,0,1,0,0,0,0,1
70,P0070,14.44,4,8.62,17.67,88,161,0,6.0,0.0,False,4.0,1.0,1,0,0,0,0,0,0,0,1
71,P0071,2.15,2,0.0,9.8,84,105,0,6.0,3.0,True,12.0,6.0,0,0,0,0,0,1,0,1,0
72,P0072,22.01,5,22.83,34.31,29,49,0,6.0,2.0,True,11.0,5.0,0,0,0,1,0,0,0,1,0
73,P0073,28.35,4,5.12,46.129999999999995,63,132,0,1.0,7.0,True,4.0,5.0,0,0,0,1,0,0,1,0,0
74,P0074,15.92,2,1.7,64.63,93,8,1,1.0,0.0,False,11.0,5.0,1,0,0,0,0,0,0,0,1
75,P0075,22.22,3,1.1,81.55,67,51,0,6.0,0.0,True,11.0,0.0,1,0,0,0,0,0,0,1,0
76,P0076,27.6,8,0.89,12.540000000000001,19,112,0,3.0,0.0,True,12.0,2.0,0,1,0,0,0,0,0,1,0
77,P0077,26.25,7,17.76,38.93000000000001,94,137,0,2.0,4.0,True,11.0,4.0,0,1,0,0,0,0,0,1,0
78,P0078,32.11,7,3.13,42.13,25,103,0,6.0,0.0,False,2.0,6.0,0,0,0,0,0,1,1,0,0
79,P0079,29.03,7,16.88,51.349999999999994,34,17,1,6.0,0.0,False,4.0,5.0,0,0,0,0,0,1,1,0,0
80,P0080,48.11,2,0.0,15.5,91,168,0,6.0,8.0,False,3.0,4.0,1,0,0,0,0,0,0,1,0
81,P0081,29.79,8,0.95,74.65,29,149,0,8.0,0.0,False,4.0,0.0,0,0,0,0,0,1,1,0,0
82,P0082,43.41,7,0.0,15.21,99,81,0,2.0,8.0,False,12.0,0.0,0,0,1,0,0,0,0,1,0
83,P0083,21.16,2,0.0,65.13,89,61,0,6.0,0.0,False,4.0,6.0,0,1,0,0,0,0,0,1,0
84,P0084,22.03,1,0.0,171.63,98,12,1,6.0,0.0,True,2.0,3.0,0,0,0,0,0,1,0,0,1
85,P0085,29.24,4,0.0,10.24,62,80,0,6.0,0.0,False,4.0,1.0,0,0,0,0,1,0,0,0,1
86,P0086,38.17,8,12.23,141.91,23,26,1,5.0,0.0,True,12.0,0.0,0,0,0,0,1,0,0,1,0
87,P0087,36.19,3,25.82,202.94,87,82,0,6.0,0.0,False,3.0,3.0,0,0,0,1,0,0,0,0,1
88,P0088,43.57,8,8.5,89.98,4,93,0,6.0,0.0,True,2.0,2.0,0,1,0,0,0,0,0,0,1
89,P0089,2.88,7,2.05,26.27,96,123,0,6.0,3.0,True,12.0,3.0,0,0,1,0,0,0,0,1,0
90,P0090,29.76,3,0.0,20.5,84,133,0,6.0,0.0,False,11.0,0.0,0,0,0,1,0,0,0,0,1
91,P0091,24.45,3,2.66,4.8100000000000005,65,73,0,6.0,0.0,True,11.0,5.0,0,0,0,0,1,0,0,0,1
92,P0092,19.29,7,1.83,238.3,59,72,0,4.0,0.0,True,11.0,5.0,0,0,0,0,0,1,1,0,0
93,P0093,36.83,4,0.0,10.32,3,120,0,6.0,4.0,True,4.0,6.0,0,0,1,0,0,0,0,1,0
94,P0094,44.21,4,0.0,38.5,73,68,0,5.0,0.0,True,12.0,0.0,0,0,0,0,1,0,0,1,0
95,P0095,24.29,4,19.12,20.92,79,40,0,6.0,4.0,True,3.0,3.0,1,0,0,0,0,0,0,0,1
96,P0096,20.94,1,0.0,59.49,48,90,0,2.0,0.0,False,1.0,3.0,0,1,0,0,0,0,0,0,1
97,P0097,39.75,4,0.0,107.24,62,93,0,3.0,9.0,False,3.0,5.0,0,0,0,0,1,0,0,1,0
98,P0098,48.65,6,1.75,22.07,45,89,0,6.0,0.0,False,4.0,2.0,0,0,1,0,0,0,0,1,0
99,P0099,38.2,5,21.13,21.39,32,107,0,5.0,0.0,False,3.0,4.0,0,0,1,0,0,0,0,1,0
100,P0100,33.69,2,3.38,51.36,17,104,0,6.0,7.0,False,1.0,2.0,0,0,1,0,0,0,0,0,1
101,P0101,26.07,3,5.66,97.33,28,60,0,6.0,0.0,False,1.0,2.0,0,1,0,0,0,0,0,1,0
102,P0102,31.76,3,8.73,29.95,90,120,0,6.0,1.0,True,1.0,1.0,0,0,0,0,1,0,0,1,0
103,P0103,34.09,6,0.0,86.16,79,160,0,6.0,0.0,False,1.0,0.0,0,0,0,1,0,0,0,0,1
104,P0104,24.45,6,2.49,6.79,78,84,0,6.0,0.0,True,4.0,6.0,0,0,0,0,1,0,0,0,1
105,P0105,48.81,5,0.0,50.88,6,147,0,6.0,4.0,True,4.0,6.0,0,0,1,0,0,0,0,0,1
106,P0106,29.54,3,10.55,33.53,15,27,1,6.0,8.0,False,2.0,2.0,0,0,1,0,0,0,1,0,0
107,P0107,32.43,7,25.36,73.3,46,15,1,9.0,0.0,True,11.0,2.0,0,0,0,0,0,1,0,0,1
108,P0108,33.75,3,0.0,43.61,2,88,0,6.0,0.0,False,3.0,5.0,0,0,0,0,1,0,0,1,0
109,P0109,22.43,8,30.5,149.7,11,179,0,6.0,0.0,False,11.0,0.0,0,0,0,0,1,0,0,1,0
110,P0110,29.96,3,0.0,19.76,2,33,0,9.0,0.0,True,1.0,0.0,0,0,0,1,0,0,0,0,1
111,P0111,18.42,7,0.0,55.49,75,61,0,6.0,0.0,False,1.0,4.0,0,1,0,0,0,0,1,0,0
112,P0112,30.6,8,0.0,84.99,26,127,0,6.0,8.0,False,3.0,3.0,0,0,1,0,0,0,1,0,0
113,P0113,23.53,6,3.99,35.75,45,136,0,6.0,4.0,True,3.0,4.0,0,0,0,0,1,0,0,1,0
114,P0114,29.76,8,0.31,15.21,76,49,0,6.0,9.0,True,12.0,2.0,0,0,0,1,0,0,0,1,0
115,P0115,51.42,5,20.18,63.4,36,117,0,6.0,3.0,True,1.0,0.0,0,0,0,1,0,0,0,0,1
116,P0116,13.67,6,0.0,62.91,94,87,0,10.0,0.0,False,12.0,4.0,0,0,0,1,0,0,0,0,1
117,P0117,24.27,6,4.45,49.39,70,145,0,9.0,8.0,True,2.0,2.0,0,0,1,0,0,0,0,1,0
118,P0118,40.47,1,9.13,34.39,23,47,0,10.0,0.0,True,12.0,6.0,0,0,0,1,0,0,1,0,0
119,P0119,27.05,4,5.97,50.29,76,1,1,6.0,0.0,False,4.0,1.0,0,0,0,0,1,0,0,0,1
120,P0120,38.47,6,3.14,6.08,37,20,1,10.0,0.0,True,1.0,5.0,0,0,0,0,1,0,0,1,0
121,P0121,42.23,5,0.0,8.03,53,43,0,2.0,8.0,True,2.0,1.0,0,0,0,1,0,0,0,1,0
122,P0122,39.16,5,3.68,64.66,8,85,0,6.0,0.0,True,11.0,5.0,0,1,0,0,0,0,1,0,0
123,P0123,33.46,9,20.32,62.59,76,72,0,6.0,3.0,True,2.0,2.0,1,0,0,0,0,0,0,0,1
124,P0124,19.23,6,37.8,63.92,48,13,1,9.0,0.0,True,2.0,1.0,0,0,0,1,0,0,0,1,0
125,P0125,36.68,10,0.0,6.4,54,89,0,6.0,0.0,True,1.0,5.0,1,0,0,0,0,0,0,1,0
126,P0126,17.22,5,0.76,47.01,78,74,0,6.0,0.0,True,2.0,0.0,0,0,0,0,1,0,1,0,0
127,P0127,13.56,4,0.0,20.87,12,133,0,6.0,0.0,False,2.0,3.0,0,0,0,0,0,1,0,1,0
128,P0128,28.5,8,30.94,84.11,51,15,1,6.0,0.0,False,4.0,1.0,0,0,0,0,0,1,1,0,0
129,P0129,13.66,4,0.0,55.45,29,156,0,3.0,0.0,True,12.0,0.0,0,0,0,0,1,0,1,0,0
130,P0130,39.18,4,11.43,21.439999999999998,13,159,0,6.0,0.0,True,4.0,4.0,0,1,0,0,0,0,0,0,1
131,P0131,14.29,4,16.91,40.29,45,106,0,7.0,0.0,False,3.0,0.0,0,0,0,0,1,0,0,1,0
132,P0132,30.49,6,0.0,13.52,37,68,0,2.0,7.0,False,5.0,3.0,0,0,0,0,1,0,0,0,1
133,P0133,30.41,5,8.83,18.03,99,108,0,6.0,0.0,False,4.0,2.0,0,0,0,0,1,0,0,1,0
134,P0134,28.15,3,0.0,13.19,78,77,0,9.0,0.0,True,11.0,0.0,0,0,1,0,0,0,0,0,1
135,P0135,28.7,8,0.0,5.5,90,102,0,6.0,0.0,False,3.0,1.0,0,0,0,0,0,1,0,0,1
136,P0136,22.51,6,0.0,89.15,60,5,1,5.0,0.0,False,4.0,5.0,0,0,0,0,1,0,1,0,0
137,P0137,38.68,9,0.0,31.29,8,150,0,10.0,3.0,False,1.0,5.0,0,0,0,0,0,1,1,0,0
138,P0138,31.1,5,3.58,202.37,3,144,0,7.0,2.0,False,11.0,2.0,0,0,0,0,1,0,0,1,0
139,P0139,33.78,7,14.08,20.91,16,38,0,6.0,0.0,False,12.0,3.0,0,0,1,0,0,0,0,1,0
140,P0140,23.18,5,28.54,131.85,6,163,0,6.0,0.0,True,12.0,4.0,0,0,0,0,1,0,0,0,1
141,P0141,18.26,7,7.6,71.5,67,80,0,7.0,3.0,False,11.0,3.0,0,0,0,0,1,0,1,0,0
142,P0142,24.54,1,2.53,160.23,82,10,1,6.0,1.0,False,12.0,0.0,0,0,0,0,1,0,0,0,1
143,P0143,39.81,6,6.98,32.41,25,141,0,6.0,1.0,False,3.0,1.0,0,0,0,1,0,0,0,1,0
144,P0144,35.08,4,0.0,51.2,93,43,0,6.0,0.0,False,11.0,1.0,0,0,0,0,0,1,0,0,1
145,P0145,30.54,3,0.0,3.0,11,178,0,6.0,8.0,False,3.0,3.0,1,0,0,0,0,0,0,1,0
146,P0146,17.69,3,11.76,59.879999999999995,4,103,0,6.0,0.0,True,1.0,6.0,0,0,0,0,1,0,0,0,1
147,P0147,27.4,3,0.0,94.2,50,63,0,6.0,3.0,False,2.0,2.0,0,0,0,0,0,1,1,0,0
148,P0148,47.15,4,33.19,47.48,62,149,0,6.0,5.0,False,11.0,4.0,0,0,1,0,0,0,0,1,0
149,P0149,19.41,4,0.12,13.92,85,82,0,6.0,0.0,False,4.0,0.0,0,1,0,0,0,0,1,0,0
150,P0150,16.12,4,20.0,33.95,82,157,0,6.0,0.0,False,3.0,2.0,0,0,1,0,0,0,0,0,1
151,P0151,22.38,9,0.0,116.02,21,28,1,6.0,1.0,True,4.0,0.0,0,0,0,0,1,0,0,1,0
152,P0152,20.51,6,0.49,2.4299999999999997,87,43,0,1.0,0.0,True,2.0,3.0,0,0,0,0,1,0,1,0,0
153,P0153,8.38,1,0.0,156.75,21,58,0,4.0,0.0,False,11.0,4.0,0,0,0,1,0,0,1,0,0
154,P0154,23.89,4,0.0,4.31,92,81,0,6.0,7.0,True,3.0,6.0,0,0,1,0,0,0,0,0,1
155,P0155,41.95,3,9.55,84.05,41,122,0,6.0,1.0,False,3.0,3.0,0,1,0,0,0,0,1,0,0
156,P0156,22.19,6,0.45,6.32,18,153,0,6.0,0.0,False,3.0,2.0,0,1,0,0,0,0,1,0,0
157,P0157,26.29,5,6.85,7.489999999999999,21,122,0,7.0,6.0,False,3.0,5.0,0,0,0,0,1,0,0,0,1
158,P0158,38.38,9,0.0,9.01,29,27,1,6.0,0.0,False,11.0,3.0,0,0,1,0,0,0,0,1,0
159,P0159,21.86,6,1.64,6.56,25,128,0,6.0,7.0,True,2.0,3.0,0,0,0,1,0,0,1,0,0
160,P0160,27.5,5,0.0,11.41,10,149,0,6.0,0.0,True,3.0,4.0,0,0,0,0,1,0,0,1,0
161,P0161,29.8,4,0.0,71.56,54,12,1,1.0,0.0,False,12.0,1.0,0,0,0,0,1,0,0,0,1
162,P0162,28.79,5,5.95,69.97,24,154,0,5.0,5.0,False,3.0,6.0,1,0,0,0,0,0,0,1,0
163,P0163,34.2,2,0.0,48.33,4,57,0,4.0,0.0,False,11.0,6.0,0,1,0,0,0,0,0,1,0
164,P0164,24.48,5,0.0,56.42,82,147,0,3.0,0.0,False,2.0,1.0,0,0,0,0,1,0,0,1,0
165,P0165,55.58,7,4.68,11.21,55,146,0,4.0,0.0,False,3.0,5.0,0,0,1,0,0,0,0,1,0
166,P0166,45.13,7,0.0,91.57,75,103,0,6.0,0.0,False,12.0,0.0,0,0,0,1,0,0,1,0,0
167,P0167,36.31,4,0.24,89.33999999999999,70,81,0,3.0,4.0,False,2.0,1.0,0,0,1,0,0,0,0,0,1
168,P0168,24.17,6,23.43,143.49,24,57,0,4.0,0.0,True,3.0,5.0,0,0,1,0,0,0,1,0,0
169,P0169,16.99,2,5.09,133.04,89,36,0,6.0,0.0,False,12.0,1.0,0,0,0,0,0,1,0,0,1
170,P0170,29.0,4,0.0,71.23,89,70,0,9.0,0.0,True,11.0,1.0,0,0,1,0,0,0,0,1,0
171,P0171,27.96,1,23.69,31.19,68,178,0,6.0,0.0,True,3.0,6.0,0,0,1,0,0,0,0,1,0
172,P0172,37.37,5,5.43,20.5,57,165,0,6.0,0.0,True,2.0,5.0,0,1,0,0,0,0,1,0,0
173,P0173,27.19,6,4.3,10.36,50,117,0,4.0,0.0,False,4.0,1.0,0,0,1,0,0,0,1,0,0
174,P0174,32.64,8,18.77,46.76,5,2,1,6.0,8.0,False,3.0,6.0,0,0,1,0,0,0,0,1,0
175,P0175,24.1,5,7.18,89.28,10,99,0,6.0,0.0,False,1.0,3.0,0,0,1,0,0,0,0,0,1
176,P0176,23.54,4,21.02,126.86,92,14,1,9.0,0.0,True,1.0,4.0,1,0,0,0,0,0,0,0,1
177,P0177,22.01,3,6.23,126.2,97,42,0,6.0,2.0,False,1.0,3.0,0,0,1,0,0,0,0,1,0
178,P0178,32.99,7,8.62,58.96,55,137,0,6.0,1.0,True,3.0,2.0,0,0,0,1,0,0,1,0,0
179,P0179,22.48,6,41.06,48.64,1,8,1,5.0,10.0,True,11.0,4.0,0,0,0,0,1,0,1,0,0
180,P0180,40.03,7,0.0,64.58,34,4,1,6.0,9.0,False,12.0,4.0,0,0,1,0,0,0,0,1,0
181,P0181,23.72,2,0.0,41.02,97,25,1,4.0,1.0,False,11.0,1.0,0,1,0,0,0,0,0,1,0
182,P0182,24.76,7,10.55,29.400000000000002,88,131,0,10.0,4.0,True,2.0,0.0,0,1,0,0,0,0,1,0,0
183,P0183,17.43,3,23.58,90.87,82,58,0,9.0,6.0,False,4.0,2.0,0,0,1,0,0,0,1,0,0
184,P0184,14.82,7,0.72,10.33,73,148,0,1.0,7.0,False,2.0,1.0,0,0,0,0,1,0,1,0,0
185,P0185,42.44,1,4.16,104.8,47,38,0,5.0,0.0,True,4.0,1.0,0,0,0,0,0,1,0,0,1
186,P0186,24.97,6,20.73,20.740000000000002,59,91,0,6.0,0.0,True,4.0,4.0,0,0,0,0,1,0,0,1,0
187,P0187,44.44,3,5.32,86.38,84,113,0,6.0,7.0,False,4.0,6.0,0,0,0,0,1,0,0,0,1
188,P0188,33.32,6,32.92,97.77,19,175,0,6.0,7.0,True,3.0,1.0,0,0,0,0,0,1,1,0,0
189,P0189,31.9,4,6.33,24.25,75,53,0,6.0,0.0,False,12.0,1.0,0,1,0,0,0,0,0,0,1
190,P0190,40.5,6,0.82,14.51,48,158,0,3.0,10.0,True,3.0,6.0,0,0,0,0,0,1,0,1,0
191,P0191,21.36,6,0.99,121.17999999999999,68,35,0,6.0,0.0,False,2.0,4.0,0,0,0,0,1,0,0,0,1
192,P0192,31.9,7,9.34,59.230000000000004,20,157,0,6.0,0.0,False,11.0,4.0,0,0,0,0,1,0,0,0,1
193,P0193,40.01,5,3.17,35.190000000000005,1,72,0,6.0,5.0,True,2.0,6.0,0,0,0,1,0,0,0,0,1
194,P0194,28.94,3,3.24,181.19,93,109,0,6.0,2.0,True,3.0,3.0,0,0,1,0,0,0,1,0,0
195,P0195,28.16,4,0.0,0.28,46,113,0,6.0,0.0,True,4.0,5.0,0,0,1,0,0,0,0,1,0
196,P0196,25.15,4,0.0,16.27,88,37,0,1.0,8.0,True,3.0,1.0,0,0,0,1,0,0,0,1,0
197,P0197,37.75,4,11.25,13.54,11,77,0,6.0,0.0,True,4.0,0.0,0,0,0,0,0,1,1,0,0
198,P0198,11.97,7,0.0,50.59,87,158,0,6.0,0.0,False,12.0,1.0,0,0,0,1,0,0,0,1,0
199,P0199,14.16,5,0.0,6.45,28,168,0,6.0,0.0,False,2.0,4.0,0,0,0,0,1,0,1,0,0
200,P0200,35.12,4,10.11,132.37,39,28,1,6.0,3.0,True,12.0,2.0,0,0,0,0,1,0,1,0,0
201,P0201,28.32,9,5.1,125.57,62,49,0,9.0,0.0,False,2.0,3.0,0,0,0,0,1,0,1,0,0
202,P0202,40.48,5,0.0,24.24,67,156,0,6.0,0.0,True,2.0,6.0,0,0,0,0,0,1,0,0,1
203,P0203,26.65,7,0.0,28.15,68,165,0,8.0,0.0,False,12.0,1.0,0,0,0,0,1,0,1,0,0
204,P0204,20.36,3,0.74,27.09,49,113,0,6.0,0.0,False,12.0,2.0,0,0,0,0,0,1,0,1,0
205,P0205,25.7,5,0.0,178.82,30,120,0,6.0,10.0,False,12.0,4.0,1,0,0,0,0,0,0,1,0
206,P0206,18.85,4,3.76,11.71,30,170,0,5.0,9.0,False,2.0,0.0,0,0,0,0,0,1,0,1,0
207,P0207,30.98,7,0.0,162.38,17,109,0,6.0,3.0,False,2.0,5.0,0,0,0,0,1,0,1,0,0
208,P0208,29.82,4,0.0,87.67,51,85,0,6.0,0.0,True,1.0,2.0,0,0,0,1,0,0,0,0,1
209,P0209,33.97,5,6.71,32.4,17,99,0,2.0,0.0,True,11.0,2.0,0,1,0,0,0,0,0,0,1
210,P0210,40.65,6,0.0,44.95,98,11,1,6.0,0.0,True,4.0,3.0,0,0,0,0,1,0,0,1,0
211,P0211,23.66,4,20.96,165.12,17,115,0,6.0,0.0,False,3.0,0.0,0,0,1,0,0,0,0,1,0
212,P0212,29.87,6,0.0,35.8,81,179,0,6.0,10.0,False,1.0,0.0,0,0,1,0,0,0,0,0,1
213,P0213,33.91,6,19.24,48.16,97,96,0,8.0,2.0,False,3.0,2.0,0,0,1,0,0,0,1,0,0
214,P0214,18.98,2,0.0,66.22,96,22,1,6.0,0.0,True,4.0,6.0,0,0,0,0,1,0,0,1,0
215,P0215,21.5,10,0.0,261.52,71,30,0,7.0,2.0,False,11.0,4.0,0,0,1,0,0,0,1,0,0
216,P0216,37.25,8,6.69,10.73,4,158,0,6.0,10.0,True,11.0,2.0,0,0,1,0,0,0,0,1,0
217,P0217,35.16,4,0.0,155.18,16,66,0,8.0,0.0,True,4.0,2.0,0,1,0,0,0,0,0,0,1
218,P0218,44.55,2,5.16,22.66,34,39,0,6.0,0.0,False,1.0,3.0,0,0,0,0,0,1,0,0,1
219,P0219,30.03,3,0.0,43.76,39,65,0,6.0,0.0,False,1.0,2.0,0,1,0,0,0,0,0,0,1
